"id","town_name","num_fires","region","subregion"
"65","PORTO DO SON",495,"GALICIA","A CORUNA"
"66","BAZTAN",495,"NAVARRA","NAVARRA"
"67","LAVIANA",493,"ASTURIAS","ASTURIAS"
"68","MOS",491,"GALICIA","PONTEVEDRA"
"69","RIBADESELLA",490,"ASTURIAS","ASTURIAS"
"70","CALDAS DE REIS",489,"GALICIA","PONTEVEDRA"
"71","VERIN",489,"GALICIA","OURENSE"
"72","SILLEDA",487,"GALICIA","PONTEVEDRA"
"73","PALAS DE REI",480,"GALICIA","LUGO"
"74","RAIRIZ DE VEIGA",478,"GALICIA","OURENSE"
"75","ORDES",462,"GALICIA","A CORUNA"
"76","ONIS",457,"ASTURIAS","ASTURIAS"
"77","PINOR",456,"GALICIA","OURENSE"
"78","CACERES",451,"EXTREMADURA","CACERES"
"79","CABUERNIGA",450,"CANTABRIA","CANTABRIA"
"80","OIMBRA",445,"GALICIA","OURENSE"
"81","FERROL",445,"GALICIA","A CORUNA"
"82","BALTAR",438,"GALICIA","OURENSE"
"83","SAVINAO, O",435,"GALICIA","LUGO"
"84","REDONDELA",418,"GALICIA","PONTEVEDRA"
"85","SAN CRISTOVO DE CEA",413,"GALICIA","OURENSE"
"86","COSPEITO",412,"GALICIA","LUGO"
"87","ZAS",404,"GALICIA","A CORUNA"
"88","HERMISENDE",396,"CASTILLA Y LEON","ZAMORA"
"89","CORISTANCO",392,"GALICIA","A CORUNA"
"90","NEGREIRA",389,"GALICIA","A CORUNA"
"91","LANGREO",385,"ASTURIAS","ASTURIAS"
"92","CARBALLEDO",384,"GALICIA","LUGO"
"93","AMES",381,"GALICIA","A CORUNA"
"94","POIO",379,"GALICIA","PONTEVEDRA"
"95","BANDE",376,"GALICIA","OURENSE"
"96","BARCO DE VALDEORRAS, O",374,"GALICIA","OURENSE"
"97","LOBEIRA",368,"GALICIA","OURENSE"
"98","GUNTIN",361,"GALICIA","LUGO"
"99","VALDES",361,"ASTURIAS","ASTURIAS"
"100","ARTEIXO",360,"GALICIA","A CORUNA"
